RK	TIERS	PLAYER NAME	TEAM	POS	BYE WEEK	SOS SEASON	ECR VS. ADP
208	9	Buffalo Bills	BUF	DST8	12	2 out of 5 stars	-16
209	9	Tyler Boyd	TEN	WR80	5	4 out of 5 stars	42
210	9	Philadelphia Eagles	PHI	DST9	5	3 out of 5 stars	-11
211	9	Jason Sanders	MIA	K3	6	2 out of 5 stars	-44
212	9	Harrison Butker	KC	K4	6	2 out of 5 stars	-89
213	9	Tucker Kraft	GB	TE27	10	3 out of 5 stars	88
214	9	Mike Gesicki	CIN	TE28	12	3 out of 5 stars	27
215	9	Roman Wilson	PIT	WR81	9	1 out of 5 stars	34
216	9	Clyde Edwards-Helaire	KC	RB64	6	3 out of 5 stars	10
217	9	Elijah Moore	CLE	WR82	10	3 out of 5 stars	88
218	9	Houston Texans	HOU	DST10	14	2 out of 5 stars	-9
219	9	Jake Elliott	PHI	K5	5	2 out of 5 stars	-77
220	9	Miami Dolphins	MIA	DST11	6	2 out of 5 stars	-41
221	9	Jake Moody	SF	K6	9	1 out of 5 stars	-71
222	9	Ka'imi Fairbairn	HOU	K7	14	2 out of 5 stars	-78
223	9	AJ Dillon	GB	RB65	10	1 out of 5 stars	-27
224	9	New Orleans Saints	NO	DST12	12	5 out of 5 stars	-9
225	9	Younghoe Koo	ATL	K8	12	0 out of 5 stars	-59
226	10	Chicago Bears	CHI	DST13	7	3 out of 5 stars	6
227	10	Jalen McMillan	TB	WR83	11	3 out of 5 stars	47
228	10	Tyrone Tracy Jr.	NYG	RB66	11	3 out of 5 stars	-27
229	10	Tyler Bass	BUF	K9	12	5 out of 5 stars	-46
230	10	Jordan Mason	SF	RB67	9	2 out of 5 stars	12
231	10	Kenneth Gainwell	PHI	RB68	5	4 out of 5 stars	5
232	10	Kimani Vidal	LAC	RB69	5	4 out of 5 stars	-62
233	10	D'Onta Foreman	CLE	RB70	10	4 out of 5 stars	22
234	10	Drake Maye	NE	QB31	14	3 out of 5 stars	-6
235	10	Kendrick Bourne	NE	WR84	14	3 out of 5 stars	78
236	10	Andrei Iosivas	CIN	WR85	12	2 out of 5 stars	60
237	10	Evan McPherson	CIN	K10	12	0 out of 5 stars	-62
238	10	Jonnu Smith	MIA	TE29	6	2 out of 5 stars	-52
239	10	Justin Fields	PIT	QB32	9	2 out of 5 stars	-62
240	10	Gardner Minshew II	LV	QB33	10	2 out of 5 stars	8
241	10	Matt Gay	IND	K11	14	5 out of 5 stars	-17
242	10	Malachi Corley	NYJ	WR86	12	4 out of 5 stars	29
243	10	DJ Chark Jr.	LAC	WR87	5	3 out of 5 stars	38
244	10	Odell Beckham Jr.	MIA	WR88	6	2 out of 5 stars	35
245	10	Miles Sanders	CAR	RB71	11	4 out of 5 stars	20
246	10	Jamaal Williams	NO	RB72	12	5 out of 5 stars	7
247	10	Will Shipley	PHI	RB73	5	4 out of 5 stars	-9
248	10	Javon Baker	NE	WR89	14	3 out of 5 stars	34
249	10	Keaton Mitchell	BAL	RB74	14	3 out of 5 stars	8
250	10	Michael Mayer	LV	TE30	10	4 out of 5 stars	62
251	10	Indianapolis Colts	IND	DST14	14	4 out of 5 stars	-4
252	10	Cameron Dicker	LAC	K12	5	3 out of 5 stars	-55
253	10	Dylan Laube	LV	RB75	10	3 out of 5 stars	24
254	10	Troy Franklin	DEN	WR90	14	2 out of 5 stars	-37
255	10	Trey Sermon	IND	RB76	14	2 out of 5 stars	32
256	10	Cairo Santos	CHI	K13	7	5 out of 5 stars	-12
257	10	Dustin Hopkins	CLE	K14	10	2 out of 5 stars	10
258	10	Detroit Lions	DET	DST15	5	0 out of 5 stars	-33
259	10	Zay Jones	ARI	WR91	11	3 out of 5 stars	36
260	10	Samaje Perine	DEN	RB77	14	4 out of 5 stars	6
261	10	Jonathan Mingo	CAR	WR92	11	5 out of 5 stars	70
262	10	Jason Myers	SEA	K15	10	5 out of 5 stars	-64
263	10	Luke McCaffrey	WAS	WR93	14	3 out of 5 stars	-11
264	10	Zach Ertz	WAS	TE31	14	2 out of 5 stars	-5
265	10	A.T. Perry	NO	WR94	12	3 out of 5 stars	90
266	10	Dawson Knox	BUF	TE32	12	2 out of 5 stars	-50
267	10	Treylon Burks	TEN	WR95	5	4 out of 5 stars	56
268	10	Eric Gray	NYG	RB78	11	3 out of 5 stars	7
269	10	Josh Reynolds	DEN	WR96	14	2 out of 5 stars	67
270	10	Ja'Tavion Sanders	CAR	TE33	11	3 out of 5 stars	-10
271	10	Cincinnati Bengals	CIN	DST16	12	5 out of 5 stars	-13
272	10	Gerald Everett	CHI	TE34	7	3 out of 5 stars	-
273	10	Greg Dortch	ARI	WR97	11	3 out of 5 stars	-4
274	10	Minnesota Vikings	MIN	DST17	6	3 out of 5 stars	-34
275	10	Daniel Carlson	LV	K16	10	2 out of 5 stars	-67
276	10	K.J. Osborn	NE	WR98	14	3 out of 5 stars	68
277	10	Alec Pierce	IND	WR99	14	4 out of 5 stars	85
278	10	Jacksonville Jaguars	JAC	DST18	12	4 out of 5 stars	-14
279	10	Jalen Tolbert	DAL	WR100	7	3 out of 5 stars	-16
280	10	Trey Palmer	TB	WR101	11	3 out of 5 stars	80
281	10	Evan Hull	IND	RB79	14	2 out of 5 stars	58
282	10	Cedric Tillman	CLE	WR102	10	3 out of 5 stars	-
283	10	Greg Dulcich	DEN	TE35	14	2 out of 5 stars	-27
284	10	Cordarrelle Patterson	PIT	RB80	9	4 out of 5 stars	83
285	10	Devontez Walker	BAL	WR103	14	3 out of 5 stars	3
286	10	Greg Zuerlein	NYJ	K17	12	4 out of 5 stars	-43
287	11	Blake Grupe	NO	K18	12	4 out of 5 stars	48
288	11	Colby Parkinson	LAR	TE36	6	3 out of 5 stars	-15
289	11	Green Bay Packers	GB	DST19	10	1 out of 5 stars	-28
290	11	Deuce Vaughn	DAL	RB81	7	3 out of 5 stars	29
291	11	Noah Brown	HOU	WR104	14	3 out of 5 stars	-
292	11	D'Ernest Johnson	JAC	RB82	12	2 out of 5 stars	-
293	11	Michael Carter	ARI	RB83	11	2 out of 5 stars	72
294	11	Jelani Woods	IND	TE37	14	3 out of 5 stars	8
295	11	Aidan O'Connell	LV	QB34	10	2 out of 5 stars	-17
296	11	Pierre Strong Jr.	CLE	RB84	10	4 out of 5 stars	-
297	11	Emari Demercado	ARI	RB85	11	2 out of 5 stars	71
298	11	Brenden Rice	LAC	WR105	5	3 out of 5 stars	5
299	11	Chase Edmonds	TB	RB86	11	5 out of 5 stars	-
300	11	Jacoby Brissett	NE	QB35	14	3 out of 5 stars	-24
301	11	Isaac Guerendo	SF	RB87	9	2 out of 5 stars	-17
302	11	Theo Johnson	NYG	TE38	11	4 out of 5 stars	-12
303	11	Chris Rodriguez Jr.	WAS	RB88	14	3 out of 5 stars	-
304	11	Kadarius Toney	KC	WR106	6	3 out of 5 stars	-
305	11	Tyler Higbee	LAR	TE39	6	3 out of 5 stars	-
306	11	Denver Broncos	DEN	DST20	14	3 out of 5 stars	-44
307	11	Jeff Wilson Jr.	MIA	RB89	6	3 out of 5 stars	50
308	11	Cam Akers	HOU	RB90	14	3 out of 5 stars	41
309	11	Israel Abanikanda	NYJ	RB91	12	2 out of 5 stars	-
310	11	Jacob Cowing	SF	WR107	9	2 out of 5 stars	-
311	11	Deneric Prince	KC	RB92	6	3 out of 5 stars	-7
312	11	Hayden Hurst	LAC	TE40	5	3 out of 5 stars	-32
313	11	Isaiah Spiller	LAC	RB93	5	4 out of 5 stars	-
314	11	Ronnie Rivers	LAR	RB94	6	3 out of 5 stars	-
315	11	Robert Woods	HOU	WR108	14	3 out of 5 stars	-
316	11	Tyler Scott	CHI	WR109	7	4 out of 5 stars	-
317	11	Las Vegas Raiders	LV	DST21	10	3 out of 5 stars	-111
318	11	Daniel Bellinger	NYG	TE41	11	4 out of 5 stars	-25
319	11	Tutu Atwell	LAR	WR110	6	3 out of 5 stars	42
320	11	Tim Patrick	DEN	WR111	14	2 out of 5 stars	-20
321	11	New England Patriots	NE	DST22	14	2 out of 5 stars	-107
322	11	Royce Freeman	DAL	RB95	7	3 out of 5 stars	42
323	11	Rasheen Ali	BAL	RB96	14	3 out of 5 stars	5
324	11	Michael Penix Jr.	ATL	QB36	12	3 out of 5 stars	-56
325	11	Kalif Raymond	DET	WR112	5	4 out of 5 stars	-
326	11	Jauan Jennings	SF	WR113	9	2 out of 5 stars	28
327	11	Kareem Hunt	FA	RB97	-	-	-42
328	11	Van Jefferson	PIT	WR114	9	1 out of 5 stars	22
329	12	Nelson Agholor	BAL	WR115	14	3 out of 5 stars	-
330	12	Tre Tucker	LV	WR116	10	3 out of 5 stars	-33
331	12	Malik Washington	MIA	WR117	6	2 out of 5 stars	-14
332	12	Ty Johnson	BUF	RB98	12	2 out of 5 stars	14
333	12	Jerick McKinnon	FA	RB99	-	-	33
334	12	Calvin Austin III	PIT	WR118	9	1 out of 5 stars	7
335	12	Kylen Granson	IND	TE42	14	3 out of 5 stars	-9
336	12	Tampa Bay Buccaneers	TB	DST23	11	4 out of 5 stars	-125
337	12	Michael Thomas	FA	WR119	-	-	-31
338	12	Salvon Ahmed	FA	RB100	-	-	-
339	12	Bo Melton	GB	WR120	10	4 out of 5 stars	-
340	12	Marquez Valdes-Scantling	BUF	WR121	12	2 out of 5 stars	-
341	12	Will Dissly	LAC	TE43	5	3 out of 5 stars	17
342	12	Donald Parham Jr.	LAC	TE44	5	3 out of 5 stars	-
343	12	Allen Lazard	NYJ	WR122	12	4 out of 5 stars	8
344	12	Dyami Brown	WAS	WR123	14	3 out of 5 stars	-61
345	12	Xavier Gipson	NYJ	WR124	12	4 out of 5 stars	-
346	12	Noah Gray	KC	TE45	6	3 out of 5 stars	-3
347	12	Sam Howell	SEA	QB37	10	3 out of 5 stars	-26
348	12	Drew Lock	NYG	QB38	11	2 out of 5 stars	-
349	12	Jordan Whittington	LAR	WR125	6	3 out of 5 stars	-55
350	12	Los Angeles Rams	LAR	DST24	6	2 out of 5 stars	-2
351	12	Justin Watson	KC	WR126	6	3 out of 5 stars	-
352	12	Seattle Seahawks	SEA	DST25	10	4 out of 5 stars	-130
353	12	Jake Bates	DET	K19	5	2 out of 5 stars	-108
354	12	Donovan Peoples-Jones	DET	WR127	5	4 out of 5 stars	-
355	12	Wil Lutz	DEN	K20	14	2 out of 5 stars	-63
356	12	Joshua Kelley	NYG	RB101	11	3 out of 5 stars	-
357	12	Jameis Winston	CLE	QB39	10	4 out of 5 stars	-59
358	12	Brevin Jordan	HOU	TE46	14	2 out of 5 stars	-
359	12	Dalvin Cook	FA	RB102	-	-	-35
360	12	Atlanta Falcons	ATL	DST26	12	4 out of 5 stars	-126
361	12	Skyy Moore	KC	WR128	6	3 out of 5 stars	-
362	12	Joe Flacco	IND	QB40	14	5 out of 5 stars	-54
363	12	Cedrick Wilson Jr.	NO	WR129	12	3 out of 5 stars	-
364	12	Isaiah Davis	NYJ	RB103	12	2 out of 5 stars	-
365	12	Erick All Jr.	CIN	TE47	12	3 out of 5 stars	-
366	12	Parris Campbell	PHI	WR130	5	2 out of 5 stars	-
367	12	Tanner Hudson	CIN	TE48	12	3 out of 5 stars	-
368	12	Jalen Nailor	MIN	WR131	6	3 out of 5 stars	-
369	12	Craig Reynolds	DET	RB104	5	3 out of 5 stars	-
370	12	Chris Boswell	PIT	K21	9	4 out of 5 stars	-131
371	12	Johnny Wilson	PHI	WR132	5	2 out of 5 stars	-60
372	12	Jawhar Jordan	HOU	RB105	14	3 out of 5 stars	-
373	12	Jeremy Ruckert	NYJ	TE49	12	3 out of 5 stars	-
374	12	Los Angeles Chargers	LAC	DST27	5	5 out of 5 stars	-45
375	12	New York Giants	NYG	DST28	11	3 out of 5 stars	-163
376	12	Josh Oliver	MIN	TE50	6	2 out of 5 stars	-
377	12	Brandon Powell	MIN	WR133	6	3 out of 5 stars	-
378	12	Tommy Tremble	CAR	TE51	11	3 out of 5 stars	-
379	12	Jarrett Stidham	DEN	QB41	14	2 out of 5 stars	-
380	12	Ray-Ray McCloud III	ATL	WR134	12	4 out of 5 stars	-17
