"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"117",9,"Jake Ferguson",DAL,"TE14","27","89","139","116.3","13.9","-"
"118",9,"RJ Harvey",DEN,"RB27","25","97","144","116.8","10.8","-"
"119",9,"George Kittle",SF,"TE15","32","89","134","117.5","14.3","-"
"120",9,"Jayden Reed",GB,"WR50","26","99","136","119.7","8.9","-"
"121",9,"Matthew Golden",GB,"WR51","23","99","136","120.8","8.3","-"
"122",9,"Quentin Johnston",LAC,"WR52","24","100","141","121.0","10.2","-"
"123",9,"Chris Godwin Jr.",TB,"WR53","30","91","141","123.3","11.0","-"
"124",9,"Brenton Strange",JAC,"TE16","25","89","156","124.8","15.9","-"
"125",9,"Jakobi Meyers",JAC,"WR54","29","108","149","124.8","10.3","-"
"126",9,"Jaylen Warren",PIT,"RB28","27","102","145","126.5","12.2","-"
"127",9,"Travis Hunter",JAC,"WR55","23","80","166","128.3","22.2","-"
"128",9,"Antonio Williams",WAS,"WR56","22","119","155","131.6","8.4","-"
"129",9,"Blake Corum",LAR,"RB29","25","101","159","132.1","16.7","-"
"130",9,"Kyle Monangai",CHI,"RB30","24","107","165","132.3","15.4","-"
"131",9,"Zach Charbonnet",SEA,"RB31","25","101","157","133.6","14.7","-"
"132",9,"Michael Penix Jr.",ATL,"QB29","26","98","168","123.4","18.4","-"
"133",9,"Jalen Coker",CAR,"WR57","24","115","150","136.9","8.1","-"
"134",9,"Chuba Hubbard",CAR,"RB32","27","98","167","137.3","17.9","-"
"135",9,"Romeo Doubs",NE,"WR58","26","109","174","137.6","16.9","-"
"136",9,"Rhamondre Stevenson",NE,"RB33","28","108","155","139.7","12.5","-"
"137",9,"Khalil Shakir",BUF,"WR59","26","123","165","139.7","10.0","-"
