Rank	Overall	Team	Pos	Bye	Age	Best	Worst	Avg	Std Dev
287	Los Angeles (LAC)		DST4	12		145	275	221.4	55.5
288	Case Keenum	WAS	QB39	10	31	157	324	283.8	25.3
289	Greg Zuerlein	LAR	K3	9	31	169	281	250.8	28.6
290	Brian Hill	ATL	RB89	9	23	170	349	270.6	44.3
291	Qadree Ollison	ATL	RB90	9	22	187	348	285.6	42
292	Will Dissly	SEA	TE39	11	23	181	392	260	71.5
293	Cole Beasley	BUF	WR118	6	30	166	298	260	39.7
294	Dontrell Hilliard	CLE	RB91	7	24	191	322	260.3	43
295	Frank Gore	BUF	RB92	6	36	198	300	279.9	21.8
296	Harrison Butker	KC	K4	12	24	179	307	265.8	34.8
297	Dare Ogunbowale	TB	RB93	7	25	183	277	242.4	29.4
298	Devine Ozigbo	NO	RB94	9	22	205	345	268.2	43
299	Houston (HOU)		DST5	10		153	286	249.4	43.9
300	Marshawn Lynch	FA	RB95		33	190	282	249.4	21.7
301	Travis Benjamin	LAC	WR119	12	29	248	300	272.3	16.1
302	Los Angeles (LAR)		DST6	9		174	289	251.2	32
303	Rod Smith	NYG	RB96	11	27	179	289	254.8	25.8
304	Denver (DEN)		DST7	10		158	275	257	21.6
305	Doug Martin	FA	RB97		30	264	340	294.4	25.9
306	Philadelphia (PHI)		DST8	10		218	353	283.3	40.4
307	Myles Gaskin	MIA	RB98	5	22	162	321	262.8	57.9
308	Baltimore (BAL)		DST9	8		208	305	263.2	33
309	Jake Kumerow	GB	WR120	11	27	178	374	298.7	53.4
310	J'Mon Moore	GB	WR121	11	24	202	346	299.4	36.8
311	New Orleans (NO)		DST10	9		195	295	266.6	34.7
312	Will Grier	CAR	QB40	7	24	140	317	286.8	17.8
313	Blake Jarwin	DAL	TE40	8	25	220	384	287	53.8
314	Adam Shaheen	CHI	TE41	6	24	222	391	302.3	41.4
315	Mason Rudolph	PIT	QB41	7	24	144	327	269.2	64.4
316	Trent Taylor	SF	WR122	4	25	183	315	269.2	42.7
317	Danny Amendola	DET	WR123	5	33	226	284	269.8	16.8
318	Foster Moreau	OAK	TE42	6		151	334	289.3	48
319	Mike Weber	DAL	RB99	8	22	209	329	303.6	20.1
320	Jake Butt	DEN	TE43	10	24	194	390	304.4	52.2
321	Blake Bortles	LAR	QB42	9	27	224	340	291.3	33.6
322	Wil Lutz	NO	K5	9	25	198	291	273.2	16.1
323	Nick Mullens	SF	QB43	4	24	254	347	294.7	36.9
324	Jarrett Stidham	NE	QB44	10	23	139	304	277	25.9
325	Jakeem Grant	MIA	WR124	5	26	219	333	297.3	41
326	Mike Boone	MIN	RB100	12	24	246	382	297.3	48.6
327	Damarea Crockett	HOU	RB101	10	21	216	282	253.3	27.1
328	Darius Slayton	NYG	WR125	11	22	244	337	280	37.1
329	Cleveland (CLE)		DST11	7		162	296	209.7	61.2
330	Jaron Brown	SEA	WR126	11	29	243	339	288.4	35.5
331	Cameron Meredith	NE	WR127	10	26	262	326	307.5	11.8
332	Jordan Matthews	SF	WR128	4	27	251	309	292	17.9
333	Travis Homer	SEA	RB102	11	21	197	320	268.8	45.8
334	Jordan Thomas	HOU	TE44	10	23	204	329	293.4	35.6
335	Bruce Anderson	TB	RB103	7		253	302	293.6	6.9
336	Dallas (DAL)		DST12	8		192	313	235.3	55
337	Wayne Gallman	NYG	RB104	11	24	235	377	311.2	38.1
338	Ryan Finley	CIN	QB45	9	24	147	324	273.8	73.8
339	Ty Johnson	DET	RB105	5	21	167	384	276	78.1
340	Jordan Scarlett	CAR	RB106	7	23	195	367	298.8	56.4
341	Seattle (SEA)		DST13	11		194	355	300.4	29.4
342	Atlanta (ATL)		DST14	9		203	309	245.7	45.7
343	Jesse James	DET	TE45	5	25	182	394	283.3	79.2
344	Chad Williams	ARI	WR129	12	24	231	342	283	39.9
345	Tim Patrick	DEN	WR130	10	25	206	354	303.8	44.5
346	Buffalo (BUF)		DST15	6		204	314	249	47.1
347	Tennessee (TEN)		DST16	11		135	352	249.7	89
348	Laquon Treadwell	MIN	WR131	12	24	226	344	305.4	33.1
349	Cody Latimer	NYG	WR132	11	26	201	316	285.3	48.7
350	New England (NE)		DST17	10		212	316	252	45.7
351	Tyrod Taylor	LAC	QB46	12	30	249	348	287.3	37.4
352	Karan Higdon	HOU	RB107	10	22	229	356	288.8	56
353	Kelvin Benjamin	FA	WR133		28	244	319	288.8	30
354	Gardner Minshew	JAC	QB47	10	23	148	341	256.3	80.5
355	Jordy Nelson	FA	WR134		34	205	304	256.7	40.5
356	Ryan Switzer	PIT	WR135	7	24	223	331	289.3	40.8
357	Corey Coleman	NYG 	WR136	11	25	206	355	308.8	37.8
358	Emanuel Hall	TB	WR137	7	22	204	346	309.4	22.1
359	Matt Prater	DET	K6	5	35	214	303	258.3	36.3
360	Mason Crosby	GB	K7	11	35	208	317	259.3	44.7
361	Maurice Harris	FA	WR138		26	243	363	310.6	44.1
362	Chester Rogers	IND	WR139	6	25	221	331	292.3	44.6
363	Nick Vannett	SEA	TE46	11	26	241	388	312.8	48.5
364	Cordarrelle Patterson	CHI	WR140	6	28	248	355	312.8	38
365	C.J. Uzomah	CIN	TE47	9	26	236	351	295.3	50.8
366	Matt LaCosse	NE	TE48	10	26	212	380	298	62.2
367	Allen Hurns	MIA	WR141	5	27	264	344	316.6	20.9
368	Green Bay (GB)		DST18	11		193	239	216	23
369	Devontae Booker	DEN	RB108	10	27	279	378	321	37
370	Ryan Grant	OAK	WR142	6	28	260	342	304.8	35.1
371	Austin Seferian-Jenkins	FA	TE49		26	197	252	224.5	27.5
372	Alex Smith	WAS	QB48	10	35	234	307	280.7	33.1
373	Mark Walton	MIA	RB109	5	22	262	379	323.8	39.1
374	Tyree Jackson	BUF	QB49	6	21	153	306	229.5	76.5
375	Chris Moore	BAL	WR143	8	26	273	330	308.3	23.8
376	Dontrelle Inman	LAC	WR144	12	30	213	381	308.8	62.6
377	Ka'imi Fairbairn	HOU	K8	10	25	217	252	234.5	17.5
378	Byron Pringle	KC	WR145	12	25	264	349	311	36.1
379	Jake Elliott	PHI	K9	10	24	229	254	241.5	12.5
380	Graham Gano	CAR	K10	7	32	211	371	291	65.3
381	Carolina (CAR)		DST19	7		223	357	291	54.7
382	Trenton Cannon	NYJ	RB110	4	25	221	334	293.3	51.3
383	Chris Boswell	PIT	K11	7	28	221	373	294	62.2
384	Braxton Berrios	NE	WR146	10	23	273	324	294	21.8
385	Robbie Gould	SF	K12	4	37	240	257	248.5	8.5
386	Geoff Swaim	JAC	TE50	10	25	262	383	320.5	48.9
387	Kendrick Bourne	SF	WR147	4	24	249	336	299.3	36.8
388	Alex Collins	FA	RB111		25	208	306	257	49
389	Darrel Williams	KC	RB112	12	24	290	344	323.3	20.2
390	Brett Maher	DAL	K13	8	29	256	265	260.5	4.5
391	Isaiah McKenzie	BUF	WR148	6	24	246	278	262	16
392	New York (NYJ)		DST20	4		173	354	263.5	90.5
393	Martavis Bryant	FA	WR149		27	215	312	263.5	48.5
394	Alfred Blue	JAC	RB113	10	28	256	386	326.5	47.5
395	Jazz Ferguson	SEA	WR150	11	22	272	275	273.5	1.5
396	Alfred Morris	DAL	RB114	8	30	227	322	274.5	47.5
397	Elijah Holyfield	CAR	RB115	7		283	385	331.5	40.2
398	Pierre Garcon	FA	WR151		33	256	297	276.5	20.5
399	Tyler Kroft	BUF	TE51	6	26	216	395	316	74.6
400	Mack Hollins	PHI	WR152	10	25	225	362	314.7	63.4
401	Benjamin Watson	NE	TE52	10	38	260	300	280	20
402	Arizona (ARI)		DST21	12		288	360	316	31.5
403	C.J. Prosise	SEA	RB116	11	25	292	335	320.7	20.3
404	Chad Beebe	MIN	WR153	12	25	272	323	297.5	25.5
405	Clayton Thorson	PHI	QB50	10	23	281	319	300	19
406	Charles Clay	ARI	TE53	12	30	248	356	302	54
407	Washington (WAS)		DST22	10		237	368	302.5	65.5
408	Michael Badgley	LAC	K14	12	24	238	370	304	66
409	Andre Ellington	TB	RB117	7	30	283	325	304	21
410	Alize Mack	NO	TE54	9	22	298	310	304	6
411	Adam Vinatieri	IND	K15	6	46	241	369	305	64
412	Taysom Hill	NO	QB51	9	29	267	346	306.5	39.5
413	Colt McCoy	WAS	QB52	10	33	265	349	307	42
414	Tyler Higbee	LAR	TE55	9	26	230	393	311.5	81.5
